route,edition,resolution,scale,family,group,name,jp,ko,state,metadata_record,source_component,target_component,target_over_source_width,target_over_source_height,component_center_shift,full_sprite_deviation,full_sprite_outlier_5pct,body_proxy_source_size,body_proxy_target_size,body_proxy_target_over_source_width,body_proxy_target_over_source_height,body_proxy_deviation,body_proxy_outlier_5pct,label_proxy_source_size,label_proxy_target_size,label_proxy_target_over_source_width,label_proxy_target_over_source_height,label_proxy_deviation,label_proxy_outlier_10pct
base_low,base,low,1,base_detail,0,county_info,郡情報,군정보,1,18,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5645,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,90,93]}","{""bbox"":[13,11,87,87],""size"":[74,76],""center"":[50.0,49.0],""pixels"":4244,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,11,87,66],""label_band_proxy_bbox"":[19,66,81,87]}",0.902439,0.904762,"[0.0,-2.0]",0.097561,True,"[82,57]","[74,55]",0.902439,0.964912,0.097561,True,"[79,27]","[62,21]",0.78481,0.777778,0.222222,True
base_low,base,low,1,base_detail,0,county_info,郡情報,군정보,2,19,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5645,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,90,93]}","{""bbox"":[14,11,87,87],""size"":[73,76],""center"":[50.5,49.0],""pixels"":4287,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[14,11,87,66],""label_band_proxy_bbox"":[18,66,83,87]}",0.890244,0.904762,"[0.5,-2.0]",0.109756,True,"[82,57]","[73,55]",0.890244,0.964912,0.109756,True,"[79,27]","[65,21]",0.822785,0.777778,0.222222,True
base_low,base,low,1,base_detail,0,county_info,郡情報,군정보,3,20,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5670,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,90,93]}","{""bbox"":[13,10,87,87],""size"":[74,77],""center"":[50.0,48.5],""pixels"":4266,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,10,87,66],""label_band_proxy_bbox"":[19,66,84,87]}",0.902439,0.916667,"[0.0,-2.5]",0.097561,True,"[82,57]","[74,56]",0.902439,0.982456,0.097561,True,"[79,27]","[65,21]",0.822785,0.777778,0.222222,True
base_low,base,low,1,base_detail,0,county_info,郡情報,군정보,4,21,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5647,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,90,93]}","{""bbox"":[13,11,87,86],""size"":[74,75],""center"":[50.0,48.5],""pixels"":4171,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,11,87,66],""label_band_proxy_bbox"":[20,66,82,86]}",0.902439,0.892857,"[0.0,-2.5]",0.107143,True,"[82,57]","[74,55]",0.902439,0.964912,0.097561,True,"[79,27]","[62,20]",0.78481,0.740741,0.259259,True
base_low,base,low,1,base_detail,0,county_info,郡情報,군정보,5,22,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5645,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,90,93]}","{""bbox"":[13,10,87,87],""size"":[74,77],""center"":[50.0,48.5],""pixels"":4371,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,10,87,66],""label_band_proxy_bbox"":[18,66,84,87]}",0.902439,0.916667,"[0.0,-2.5]",0.097561,True,"[82,57]","[74,56]",0.902439,0.982456,0.097561,True,"[79,27]","[66,21]",0.835443,0.777778,0.222222,True
base_low,base,low,1,base_detail,0,county_info,郡情報,군정보,6,23,"{""bbox"":[9,9,91,93],""size"":[82,84],""center"":[50.0,51.0],""pixels"":5647,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,91,66],""label_band_proxy_bbox"":[11,66,90,93]}","{""bbox"":[13,11,87,86],""size"":[74,75],""center"":[50.0,48.5],""pixels"":4174,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,11,87,66],""label_band_proxy_bbox"":[20,66,82,86]}",0.902439,0.892857,"[0.0,-2.5]",0.107143,True,"[82,57]","[74,55]",0.902439,0.964912,0.097561,True,"[79,27]","[62,20]",0.78481,0.740741,0.259259,True
base_low,base,low,1,base_detail,1,battle_info,合戦情報,합전정보,1,24,"{""bbox"":[3,9,97,93],""size"":[94,84],""center"":[50.0,51.0],""pixels"":6008,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,94,66],""label_band_proxy_bbox"":[3,66,97,93]}","{""bbox"":[13,11,88,87],""size"":[75,76],""center"":[50.5,49.0],""pixels"":4517,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,11,87,66],""label_band_proxy_bbox"":[14,66,88,87]}",0.797872,0.904762,"[0.5,-2.0]",0.202128,True,"[85,57]","[74,55]",0.870588,0.964912,0.129412,True,"[94,27]","[74,21]",0.787234,0.777778,0.222222,True
base_low,base,low,1,base_detail,1,battle_info,合戦情報,합전정보,2,25,"{""bbox"":[3,9,97,93],""size"":[94,84],""center"":[50.0,51.0],""pixels"":6008,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,94,66],""label_band_proxy_bbox"":[3,66,97,93]}","{""bbox"":[11,10,91,88],""size"":[80,78],""center"":[51.0,49.0],""pixels"":4807,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[12,10,88,66],""label_band_proxy_bbox"":[11,66,91,88]}",0.851064,0.928571,"[1.0,-2.0]",0.148936,True,"[85,57]","[76,56]",0.894118,0.982456,0.105882,True,"[94,27]","[80,22]",0.851064,0.814815,0.185185,True
base_low,base,low,1,base_detail,1,battle_info,合戦情報,합전정보,3,26,"{""bbox"":[3,9,97,93],""size"":[94,84],""center"":[50.0,51.0],""pixels"":6010,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,94,66],""label_band_proxy_bbox"":[3,66,97,93]}","{""bbox"":[13,10,89,87],""size"":[76,77],""center"":[51.0,48.5],""pixels"":4626,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,10,87,66],""label_band_proxy_bbox"":[13,66,89,87]}",0.808511,0.916667,"[1.0,-2.5]",0.191489,True,"[85,57]","[74,56]",0.870588,0.982456,0.129412,True,"[94,27]","[76,21]",0.808511,0.777778,0.222222,True
base_low,base,low,1,base_detail,1,battle_info,合戦情報,합전정보,4,27,"{""bbox"":[3,9,97,93],""size"":[94,84],""center"":[50.0,51.0],""pixels"":6010,""component_count"":1,""label_band_start_y"":66,""body_band_proxy_bbox"":[9,9,94,66],""label_band_proxy_bbox"":[3,66,97,93]}","{""bbox"":[13,10,88,87],""size"":[75,77],""center"":[50.5,48.5],""pixels"":4619,""component_count"":4,""label_band_start_y"":66,""body_band_proxy_bbox"":[13,10,88,66],""label_band_proxy_bbox"":[14,66,88,87]}",0.797872,0.916667,"[0.5,-2.5]",0.202128,True,"[85,57]","[75,56]",0.882353,0.982456,0.117647,True,"[94,27]","[74,21]",0.787234,0.777778,0.222222,True
