route,resolution,family,group,name,jp,ko,aliases,state,state_variant,component_index,artwork_rect,artwork_size,artwork_bc_block_rect,processing_rect,processing_size,atlas_clip_rect,boundary_clipped,bc_block_rect,bc_pixel_rect,rect_provenance
common_low,low,standard,0,approve,承認,승인,[],1,,0,"[2502,5,2682,84]","[180,79]","[625,1,671,21]","[2496,0,2688,88]","[192,88]","[2496,0,2688,88]",False,"[624,0,672,22]","[2496,0,2688,88]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,0,approve,承認,승인,[],2,,1,"[2694,5,2874,84]","[180,79]","[673,1,719,21]","[2688,0,2880,88]","[192,88]","[2688,0,2880,88]",False,"[672,0,720,22]","[2688,0,2880,88]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,0,approve,承認,승인,[],3,,2,"[2886,5,3066,84]","[180,79]","[721,1,767,21]","[2880,0,3072,88]","[192,88]","[2880,0,3072,88]",False,"[720,0,768,22]","[2880,0,3072,88]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,0,approve,承認,승인,[],4,,3,"[3078,5,3258,84]","[180,79]","[769,1,815,21]","[3072,0,3264,88]","[192,88]","[3072,0,3264,88]",False,"[768,0,816,22]","[3072,0,3264,88]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,0,approve,承認,승인,[],5,,4,"[3270,5,3450,84]","[180,79]","[817,1,863,21]","[3264,0,3456,88]","[192,88]","[3264,0,3456,88]",False,"[816,0,864,22]","[3264,0,3456,88]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,0,approve,承認,승인,[],6,,5,"[3462,5,3642,84]","[180,79]","[865,1,911,21]","[3456,0,3648,88]","[192,88]","[3456,0,3648,88]",False,"[864,0,912,22]","[3456,0,3648,88]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,1,stop,中止,중지,[],1,,6,"[3654,5,3834,84]","[180,79]","[913,1,959,21]","[3648,0,3840,88]","[192,88]","[3648,0,3840,88]",False,"[912,0,960,22]","[3648,0,3840,88]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,1,stop,中止,중지,[],2,,7,"[3846,5,4026,84]","[180,79]","[961,1,1007,21]","[3840,0,4032,88]","[192,88]","[3840,0,4032,88]",False,"[960,0,1008,22]","[3840,0,4032,88]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,1,stop,中止,중지,[],3,,9,"[270,89,450,168]","[180,79]","[67,22,113,42]","[264,84,456,172]","[192,88]","[264,84,456,172]",False,"[66,21,114,43]","[264,84,456,172]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,1,stop,中止,중지,[],4,,10,"[462,89,642,168]","[180,79]","[115,22,161,42]","[456,84,648,172]","[192,88]","[456,84,648,172]",False,"[114,21,162,43]","[456,84,648,172]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,1,stop,中止,중지,[],5,,11,"[654,89,834,168]","[180,79]","[163,22,209,42]","[648,84,840,172]","[192,88]","[648,84,840,172]",False,"[162,21,210,43]","[648,84,840,172]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,1,stop,中止,중지,[],6,,12,"[846,89,1026,168]","[180,79]","[211,22,257,42]","[840,84,1032,172]","[192,88]","[840,84,1032,172]",False,"[210,21,258,43]","[840,84,1032,172]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,2,close,閉じる,닫기,[],1,,13,"[1038,89,1218,168]","[180,79]","[259,22,305,42]","[1032,84,1224,172]","[192,88]","[1032,84,1224,172]",False,"[258,21,306,43]","[1032,84,1224,172]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,2,close,閉じる,닫기,[],2,,8,"[6,93,186,172]","[180,79]","[1,23,47,43]","[0,88,192,176]","[192,88]","[0,88,192,176]",False,"[0,22,48,44]","[0,88,192,176]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,2,close,閉じる,닫기,[],3,,15,"[1422,89,1602,168]","[180,79]","[355,22,401,42]","[1416,84,1608,172]","[192,88]","[1416,84,1608,172]",False,"[354,21,402,43]","[1416,84,1608,172]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,2,close,閉じる,닫기,[],4,,16,"[1614,89,1794,168]","[180,79]","[403,22,449,42]","[1608,84,1800,172]","[192,88]","[1608,84,1800,172]",False,"[402,21,450,43]","[1608,84,1800,172]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,2,close,閉じる,닫기,[],5,,14,"[1230,89,1410,168]","[180,79]","[307,22,353,42]","[1224,84,1416,172]","[192,88]","[1224,84,1416,172]",False,"[306,21,354,43]","[1224,84,1416,172]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,2,close,閉じる,닫기,[],6,,17,"[2502,93,2682,172]","[180,79]","[625,23,671,43]","[2496,88,2688,176]","[192,88]","[2496,88,2688,176]",False,"[624,22,672,44]","[2496,88,2688,176]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,3,deny,否認,부인,[],1,,18,"[2694,93,2874,172]","[180,79]","[673,23,719,43]","[2688,88,2880,176]","[192,88]","[2688,88,2880,176]",False,"[672,22,720,44]","[2688,88,2880,176]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,3,deny,否認,부인,[],2,,19,"[2886,93,3066,172]","[180,79]","[721,23,767,43]","[2880,88,3072,176]","[192,88]","[2880,88,3072,176]",False,"[720,22,768,44]","[2880,88,3072,176]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,3,deny,否認,부인,[],3,,20,"[3078,93,3258,172]","[180,79]","[769,23,815,43]","[3072,88,3264,176]","[192,88]","[3072,88,3264,176]",False,"[768,22,816,44]","[3072,88,3264,176]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,3,deny,否認,부인,[],4,,21,"[3270,93,3450,172]","[180,79]","[817,23,863,43]","[3264,88,3456,176]","[192,88]","[3264,88,3456,176]",False,"[816,22,864,44]","[3264,88,3456,176]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,3,deny,否認,부인,[],5,,22,"[3462,93,3642,172]","[180,79]","[865,23,911,43]","[3456,88,3648,176]","[192,88]","[3456,88,3648,176]",False,"[864,22,912,44]","[3456,88,3648,176]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,3,deny,否認,부인,[],6,,23,"[3654,93,3834,172]","[180,79]","[913,23,959,43]","[3648,88,3840,176]","[192,88]","[3648,88,3840,176]",False,"[912,22,960,44]","[3648,88,3840,176]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,4,release_all,全解放,전부해방,[],1,,24,"[3846,93,4026,172]","[180,79]","[961,23,1007,43]","[3840,88,4032,176]","[192,88]","[3840,88,4032,176]",False,"[960,22,1008,44]","[3840,88,4032,176]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,4,release_all,全解放,전부해방,[],2,,26,"[198,177,378,256]","[180,79]","[49,44,95,64]","[192,172,384,260]","[192,88]","[192,172,384,260]",False,"[48,43,96,65]","[192,172,384,260]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,4,release_all,全解放,전부해방,[],3,,35,"[1998,173,2178,252]","[180,79]","[499,43,545,63]","[1992,168,2184,256]","[192,88]","[1992,168,2184,256]",False,"[498,42,546,64]","[1992,168,2184,256]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,4,release_all,全解放,전부해방,[],4,,27,"[390,177,570,256]","[180,79]","[97,44,143,64]","[384,172,576,260]","[192,88]","[384,172,576,260]",False,"[96,43,144,65]","[384,172,576,260]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,4,release_all,全解放,전부해방,[],5,,34,"[1806,173,1986,252]","[180,79]","[451,43,497,63]","[1800,168,1992,256]","[192,88]","[1800,168,1992,256]",False,"[450,42,498,64]","[1800,168,1992,256]",detected_stock_alpha_component_plus_background_state_classification
common_low,low,standard,4,release_all,全解放,전부해방,[],6,,36,"[2190,173,2370,252]","[180,79]","[547,43,593,63]","[2184,168,2376,256]","[192,88]","[2184,168,2376,256]",False,"[546,42,594,64]","[2184,168,2376,256]",detected_stock_alpha_component_plus_background_state_classification
